authority.vice,authority.virtue,care.vice,care.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,sanctity.vice,sanctity.virtue
0.0,0.003663003663003663,0.03296703296703297,0.007326007326007326,0.0,0.0,0.0,0.003663003663003663,0.0,0.003663003663003663
0.0,0.017482517482517484,0.01048951048951049,0.0,0.0,0.0,0.0,0.01048951048951049,0.0,0.0
0.0,0.006578947368421052,0.019736842105263157,0.003289473684210526,0.003289473684210526,0.006578947368421052,0.0,0.013157894736842105,0.013157894736842105,0.0
0.006230529595015576,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.012461059190031152,0.0,0.0
0.0,0.03184713375796178,0.004246284501061571,0.0,0.0,0.0021231422505307855,0.0,0.02335456475583864,0.0,0.0
0.0029498525073746312,0.02654867256637168,0.017699115044247787,0.0058997050147492625,0.0029498525073746312,0.008849557522123894,0.0,0.014749262536873156,0.0,0.02654867256637168
0.0,0.013806706114398421,0.011834319526627219,0.0670611439842209,0.0,0.0,0.0,0.011834319526627219,0.0,0.0
0.0022675736961451248,0.006802721088435374,0.0045351473922902496,0.018140589569160998,0.0,0.0,0.0,0.0045351473922902496,0.0022675736961451248,0.0022675736961451248
0.0,0.003105590062111801,0.0,0.003105590062111801,0.003105590062111801,0.040372670807453416,0.0,0.027950310559006212,0.0,0.003105590062111801
0.0027247956403269754,0.0027247956403269754,0.0,0.01907356948228883,0.0,0.0,0.0,0.008174386920980926,0.0,0.0
0.0,0.01856763925729443,0.015915119363395226,0.002652519893899204,0.0,0.007957559681697613,0.0,0.029177718832891247,0.0,0.0
0.0,0.009111617312072893,0.01366742596810934,0.025056947608200455,0.0,0.0,0.0,0.018223234624145785,0.011389521640091117,0.002277904328018223
0.0,0.03189493433395872,0.001876172607879925,0.001876172607879925,0.0,0.0,0.0,0.001876172607879925,0.0,0.001876172607879925
0.0,0.026737967914438502,0.00267379679144385,0.0,0.0,0.00267379679144385,0.0,0.0106951871657754,0.0,0.0106951871657754
0.0015527950310559005,0.007763975155279503,0.012422360248447204,0.006211180124223602,0.0015527950310559005,0.006211180124223602,0.0,0.037267080745341616,0.003105590062111801,0.0015527950310559005
